X,Y,bAddress,Address,Title
-123.070124,49.273507,Grandview Park (Grandview Woodland),Grandview Park (Grandview Woodland),Five Pencils
-123.088452,49.278843,Maclean Park,Maclean Park,Glass Hand Project
-123.074147,49.273288,McLean Park / Mosaic Creek Park,McLean Park / Mosaic Creek Park,Mosaic Creek
-123.092458,49.282956,Lookout Drop-in Centre,Lookout Drop-in Centre,V6A ART
-123.193971,49.248834,Queen Elizabeth Elementary School,Queen Elizabeth Elementary School,Woodland Circles
-123.069679,49.274443,Reach Community Health Centre,Reach Community Health Centre,Days of Sun
-123.066927,49.267238,Queen Victoria School Annex,Queen Victoria School Annex,Games We've Played
-123.097212,49.237275,Ridgeway Greenway: Cartier Park,Ridgeway Greenway: Cartier Park,Backstop: A Stage for Wordsworth
-123.105648,49.237447,Ridgeway Greenway: Queen Elizabeth Park,Ridgeway Greenway: Queen Elizabeth Park,Big Bike
-123.106393,49.284039,Gastown,Gastown,Salmon Fountain
-123.112814,49.27758,BC Sports Hall of Fame and Museum,BC Sports Hall of Fame and Museum,Percy Williams
-123.121271,49.282599,Vancouver Art Gallery,Vancouver Art Gallery,Placed Upon the Horizon (Casting Shadows)
-123.049803,49.271005,Clinton Park,Clinton Park,Clinton Park Kiosk
-123.069599,49.262759,Commercial Drive Bridge,Commercial Drive Bridge,subTEXT:Community Signature Project
-123.066068,49.261805,Victoria Drive Bridge,Victoria Drive Bridge,Healing the Cut - Bridging the Gap
-123.157342,49.273272,Kitsilano Pool,Kitsilano Pool,Wind Swimmer
-123.116987,49.27431,median,median,Ring Gear
-123.101839,49.237247,Ridgeway Greenway,Ridgeway Greenway,Bicycle Wheel
-123.127791,49.237762,Ridgeway Greenway,Ridgeway Greenway,Utility Pole
-123.125581,49.287548,The Residences on Georgia,The Residences on Georgia,Persian Wall
-123.128163,49.291453,Coal Harbour,Coal Harbour,Make West
-123.118877,49.274768,Beatty Mews Plaza,Beatty Mews Plaza,Perennials
-123.071802,49.253479,Fleming Street Greenway,Fleming Street Greenway,Personalizing Our Park
-123.197495,49.237801,Southlands Elementary School,Southlands Elementary School,Southlands Salmon Wall
-123.0735,49.26461,Woodland Drive Bridge,Woodland Drive Bridge,Bird Feeders
-123.115356,49.286884,walkway,walkway,Working Landscape
-123.064024,49.256824,John Hendry Park - Trout Lake,John Hendry Park - Trout Lake,Trout Lake Pathways Project
-123.12577,49.287177,Palisades Apartments,Palisades Apartments,New Currents, An Ancient Stream
-123.120188,49.271158,Yaletown,Yaletown,Welcome to the Land of Light
-123.122832,49.271061,Roundhouse,Roundhouse,Brush With Illumination
-123.121871,49.272992,Roundhouse Community Centre,Roundhouse Community Centre,Terra Nova
-123.250027,49.267347,Student Union Bldg.,Student Union Bldg.,The Pacific Rim
-123.042243,49.250885,Renfrew Public Library,Renfrew Public Library,All Our Knowledge has its Origins in Our Perceptions
-123.115277,49.279912,Vancouver Public Library,Vancouver Public Library,Fountain of Time
-123.124754,49.273312,Yaletown Edge,Yaletown Edge,Footnotes
-123.125332,49.273266,"Governor's Tower Yaletown Edge",Governor's Tower Yaletown Edge,Password
-123.119515,49.272805,Marinaside Crescent,Marinaside Crescent,Street Light
-123.141154,49.209415,Granville at 70th,Granville at 70th,Land and Sea
-123.117473,49.300834,Brockton Point,Brockton Point,Shore to Shore
-123.13875,49.274429,,,Welcome Figure
-123.092673,49.25851,Robson Park,Robson Park,Robson Park Community Mural
-123.113716,49.280003,Queen Elizabeth Plaza,Queen Elizabeth Plaza,Alien Terrarium
-123.252618,49.269046,Brock Hall Annex,Brock Hall Annex,Untitled (ceramic mosaic)
-123.118827,49.288707,Three Harbour Green,Three Harbour Green,Capturing the View
